date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-02,Afghanistan,0,27,10,0,0
2021-04-02,Japan,0,90,31,0,0
2021-04-02,Sweden,0,8,1,0,0
2021-04-03,Afghanistan,0,20,17,0,0
2021-04-03,Japan,0,59,62,0,0
2021-04-03,Sweden,0,6,3,0,0
2021-04-04,Afghanistan,0,17,20,0,0
2021-04-04,Japan,0,49,72,0,0
2021-04-04,Sweden,0,4,5,0,0
2021-04-05,Afghanistan,0,14,23,0,0
2021-04-05,Japan,0,35,86,0,0
2021-04-05,Sweden,0,2,7,0,0
2021-04-06,Afghanistan,0,11,16,8,2
2021-04-06,Japan,0,31,59,11,20
2021-04-06,Sweden,0,2,6,0,1
2021-04-07,Afghanistan,0,9,11,11,6
2021-04-07,Japan,0,20,39,29,33
2021-04-07,Sweden,0,2,4,2,1
2021-04-08,Afghanistan,0,8,9,14,6
2021-04-08,Japan,0,15,34,35,37
2021-04-08,Sweden,0,2,2,3,2
2021-04-09,Afghanistan,0,8,6,16,7
2021-04-09,Japan,0,12,23,39,47
2021-04-09,Sweden,0,1,1,5,2
2021-04-10,Afghanistan,0,8,3,16,10
2021-04-10,Japan,0,10,21,43,47
2021-04-10,Sweden,0,0,2,5,2
2021-04-11,Afghanistan,0,6,3,16,12
2021-04-11,Japan,0,8,12,48,53
2021-04-11,Sweden,0,0,2,5,2
2021-04-12,Afghanistan,0,4,4,17,12
2021-04-12,Japan,0,6,9,50,56
2021-04-12,Sweden,0,0,2,5,2
2021-04-13,Afghanistan,0,4,4,17,12
2021-04-13,Japan,0,3,9,51,58
2021-04-13,Sweden,0,0,1,6,2
2021-04-14,Afghanistan,0,4,4,17,12
2021-04-14,Japan,0,2,8,52,59
2021-04-14,Sweden,0,0,0,7,2
2021-04-15,Afghanistan,0,4,2,19,12
2021-04-15,Japan,0,2,6,53,60
2021-04-15,Sweden,0,0,0,7,2
2021-04-16,Afghanistan,0,4,0,20,13
2021-04-16,Japan,0,2,4,53,62
2021-04-16,Sweden,0,0,0,7,2
2021-04-17,Afghanistan,0,3,1,20,13
2021-04-17,Japan,0,2,1,55,63
2021-04-17,Sweden,0,0,0,7,2
2021-04-18,Afghanistan,0,3,1,20,13
2021-04-18,Japan,0,2,0,55,64
2021-04-18,Sweden,0,0,0,7,2
2021-04-19,Afghanistan,0,3,1,20,13
2021-04-19,Japan,0,2,0,55,64
2021-04-19,Sweden,0,0,0,7,2
2021-04-20,Afghanistan,1,3,1,21,11
2021-04-20,Japan,6,2,0,69,44
2021-04-20,Sweden,0,0,0,8,1
2021-04-21,Afghanistan,0,3,0,26,8
2021-04-21,Japan,4,2,0,84,31
2021-04-21,Sweden,0,0,0,8,1
2021-04-22,Afghanistan,0,3,0,26,8
2021-04-22,Japan,2,2,0,90,27
2021-04-22,Sweden,0,0,0,9,0
2021-04-23,Afghanistan,0,3,0,27,7
2021-04-23,Japan,2,2,0,100,17
2021-04-23,Sweden,0,0,0,9,0
2021-04-24,Afghanistan,0,3,0,30,4
2021-04-24,Japan,2,1,1,100,17
2021-04-24,Sweden,0,0,0,9,0
2021-04-25,Afghanistan,1,3,0,31,2
2021-04-25,Japan,4,1,1,104,11
2021-04-25,Sweden,0,0,0,9,0
2021-04-26,Afghanistan,1,3,0,31,2
2021-04-26,Japan,3,1,1,108,8
2021-04-26,Sweden,0,0,0,9,0
2021-04-27,Afghanistan,1,1,2,31,2
2021-04-27,Japan,3,1,1,110,6
2021-04-27,Sweden,0,0,0,9,0
2021-04-28,Afghanistan,1,0,3,31,2
2021-04-28,Japan,3,0,1,112,5
2021-04-28,Sweden,0,0,0,9,0
2021-04-29,Afghanistan,1,0,3,31,2
2021-04-29,Japan,4,0,1,112,4
2021-04-29,Sweden,0,0,0,9,0
2021-04-30,Afghanistan,1,0,3,32,1
2021-04-30,Japan,4,0,1,114,2
2021-04-30,Sweden,0,0,0,9,0
2021-05-01,Afghanistan,1,0,1,32,3
